,Author,Text,Time,Like Count,Currency ISO Code,Url,target
0,yusobays,@elonmusk @elonmusk  please Come to TRY₺ #turkishlira,2021-01-31 22:21:58+00:00,1,TRY,https://twitter.com/yusobays/status/1356004827613065231,0.0
1,BtcTurkDestek,"@DrBatal  Hello, if you have registered using Turkish Citizenship ID number you can deposit/withdraw Turkish Lira (TRY). ++",2021-01-30 18:07:15+00:00,0,TRY,https://twitter.com/BtcTurkDestek/status/1355578337662537731,0.0
2,RisingValhalla,"“I trade weekly bars. You?”

200 day moving average  breached. 200  wma next. 
 Out for a lost. 
$USD.TRY #TRY_F #
How many Turkish Lira does my US dollar buy me? I want to go to #GobekliTepe https://t.co/ho342EjzmY",2021-01-30 03:29:59+00:00,0,TRY,https://twitter.com/RisingValhalla/status/1355357566088278016,0.0
3,Erda55203615,@elonmusk Try turkish lira its at the bottom maybe it would go up,2021-01-29 20:20:49+00:00,0,TRY,https://twitter.com/Erda55203615/status/1355249561338576896,-1.0
4,Erda55203615,@ImTooRealForU TRY FUCKING TURKISH LIRA,2021-01-29 20:19:36+00:00,0,TRY,https://twitter.com/Erda55203615/status/1355249254676246529,-1.0
5,EinherjarCS,"@elonmusk @elonmusk please write ""Turkish Lira TRY"" to your bio. We want to new gaming computer but we can not buy cuz its so expensive.",2021-01-29 14:00:12+00:00,0,TRY,https://twitter.com/EinherjarCS/status/1355153776152375297,-1.0
6,EinherjarCS,"@elonmusk @elonmusk please write ""Turkish Lira TRY"" to your bio. We want to new gaming computer but we can not buy cuz its so expensive.",2021-01-29 14:00:04+00:00,1,TRY,https://twitter.com/EinherjarCS/status/1355153742732128256,-1.0
7,EinherjarCS,"@elonmusk @elonmusk please write ""Turkish Lira TRY"" to your bio. We want to new gaming computer but we can not buy cuz its so expensive.",2021-01-29 13:59:54+00:00,1,TRY,https://twitter.com/EinherjarCS/status/1355153701355343873,-1.0
8,EinherjarCS,"@elonmusk @elonmusk please write ""Turkish Lira TRY"" to your bio. We want to new gaming computer but we can not buy cuz its so expensive.",2021-01-29 13:59:42+00:00,1,TRY,https://twitter.com/EinherjarCS/status/1355153649467609090,-1.0
9,EinherjarCS,"@elonmusk @elonmusk please write ""Turkish Lira TRY"" to your bio. We want to new gaming computer but we can not buy cuz its so expensive.",2021-01-29 13:59:33+00:00,0,TRY,https://twitter.com/EinherjarCS/status/1355153610951241729,-1.0
10,EinherjarCS,"@elonmusk please write ""Turkish Lira TRY"" to your bio. We want to new gaming computer but we can not buy cuz its so expensive.",2021-01-29 13:59:22+00:00,0,TRY,https://twitter.com/EinherjarCS/status/1355153565623472130,-1.0
11,ramazankilic35,"If you write Turkish Lira to your profile, we will try something @elonmusk :d",2021-01-29 10:46:15+00:00,10,TRY,https://twitter.com/ramazankilic35/status/1355104965665169408,-1.0
12,sultinata,@elonmusk could you please write Turkish Lira (₺) on your bio as well? We’re gonna try something.,2021-01-29 09:23:53+00:00,1,TRY,https://twitter.com/sultinata/status/1355084240636022784,-1.0
13,Iixxies,it is a ridiculous amount in turkish lira but i rlly might try it when they add the fragile resin,2021-01-28 13:38:38+00:00,0,TRY,https://twitter.com/Iixxies/status/1354785962509946886,-1.0
14,enzovakabayasi,"Because Turkish lira depreciated to a record against usd in 2020. Turkish lira hits an all time low at he begining of last november. so, it's easy to do something. let me remind you what was the usd/Try rate one year ago ouvvv its 5.94 :D https://t.co/xq4DG3vKfh",2021-01-27 17:51:17+00:00,0,TRY,https://twitter.com/enzovakabayasi/status/1354487154534211588,1.0
15,Basraoil,"U.S. Dollar / Turkish Lira Daily Chart - #USDTRY TradingView https://t.co/Rc9aM3zarR 
#usdtry #tryusd #try #lira #turkish #turkishlira #liratrend",2021-01-25 20:02:11+00:00,0,TRY,https://twitter.com/Basraoil/status/1353795320015183872,-1.0
16,straturka,"Goldman Sachs Updates its Outlook For Stronger Turkish Lira 
Goldman says in its note that #TRY would be up to 12 percent more valuable than its previous forecast https://t.co/3gc6YmCfb9",2021-01-25 09:14:34+00:00,7,TRY,https://twitter.com/straturka/status/1353632344092135424,-1.0
17,trader_blitz,"USD/TRY | $USDTRY | $USD $TRY

Stable Central Banks, Turkish Lira and US Data

Long or short it with BTC on Trade8: https://t.co/6rPN8Jw6hm https://t.co/KxeoC0LbKa",2021-01-22 06:42:00+00:00,0,TRY,https://twitter.com/trader_blitz/status/1352506785819578370,1.0
18,ForexBest20,"USD/TRY: Why the Turkish Lira May Survive 2021
A successive increase of interest rates into 2021 has strengthened the Turkish lira against the US dollar as the two countries continue to fight the pandemic.
https://t.co/j8kZ2KuIo8
 
#forextrading #forexmarket #USDTRY https://t.co/hlQG1fs05X",2021-01-21 16:29:02+00:00,0,TRY,https://twitter.com/ForexBest20/status/1352292129482166273,-1.0
19,BlackCentaurFX,USD/TRY: CBRT policy to help the Turkish lira – MUFG https://t.co/CoauwPpIbT via FXStreet #forex #fx,2021-01-18 17:25:59+00:00,0,TRY,https://twitter.com/BlackCentaurFX/status/1351219297616539648,1.0
20,Haziqrz,Turkish lira TRY 😈 i see you,2021-01-18 05:34:40+00:00,0,TRY,https://twitter.com/Haziqrz/status/1351040286982549506,1.0
21,RobinBrooksIIF,"There's strong forces pushing Turkish Lira stronger, like better global risk appetite &amp; renewed foreign investor interest in Turkey. But $/TRY has stayed near our 7.50 fair value, which is good! Better to preserve export competitiveness &amp; rebuild FX reserves. With @UgrasUlkuIIF https://t.co/bRo9AXXeuN",2021-01-16 17:13:48+00:00,135,TRY,https://twitter.com/RobinBrooksIIF/status/1350491454553124864,0.0
